subject_id,gender,height_mm,weight_kg,shoulder_mm,chest_mm,waist_mm,hip_mm,jaw_height_mm,front_neck_height_mm,crotch_height_mm,knee_height_mm,ankle_height_mm,torso_shoulder_height_mm,pelvis_point_height_mm,leg_crotch_height_mm,leg_ankle_height_mm
8_SM_001529,F,1626,50.6,350.8,783.0,734,877,1399.4,1323.1,775.5,458.6,63.7,1312.0,913,773,60
8_SM_001530,F,1623,61.8,355.7,928.0,804,964,1396.2,1326.3,732.2,438.1,71.6,1302.0,870,720,62
8_SM_001531,F,1608,50.3,344.1,758.0,662,920,1388.8,1313.5,732.9,434.3,65.5,1314.0,860,724,61
8_SM_001532,F,1583,56.1,349.8,898.0,803,880,1364.9,1288.1,724.3,436.0,65.1,1268.0,866,721,62
8_SM_001533,F,1662,60.3,348.5,850.0,742,952,1430.1,1367.3,757.7,439.1,70.2,1340.0,892,749,62
8_SM_001534,F,1596,50.6,344.3,790.0,662,889,1374.6,1301.1,730.1,422.0,66.9,1276.0,865,717,60
8_SM_001535,F,1602,54.1,361.2,829.0,746,945,1377.6,1303.0,756.8,432.6,68.2,1300.0,883,745,62
8_SM_001536,F,1608,56.8,331.4,847.0,735,945,1391.8,1311.3,728.0,437.8,64.9,1307.0,853,712,61
8_SM_001537,F,1596,48.4,348.4,795.0,687,899,1377.2,1302.7,728.3,432.5,65.3,1277.0,842,717,57
8_SM_001538,F,1589,49.5,360.6,832.0,668,858,1362.9,1288.1,725.7,425.4,69.0,1275.0,862,725,62
8_SM_001539,F,1649,53.2,332.1,825.0,655,910,1425.7,1366.7,760.8,444.6,66.3,1334.0,880,758,62
8_SM_001540,F,1589,57.9,351.3,891.0,783,962,1369.8,1293.3,717.1,418.7,67.7,1289.0,843,704,60
8_SM_001541,F,1620,71.0,375.6,988.0,849,1010,1403.5,1330.6,715.9,415.4,68.13,1310.0,858,727,61
8_SM_001542,F,1638,51.3,358.7,814.0,710,904,1422.7,1338.5,737.0,435.5,60.4,1314.0,858,730,58
8_SM_001543,F,1607,52.3,335.7,775.0,648,923,1389.4,1316.9,755.3,434.6,69.2,1301.0,887,749,65
8_SM_001544,F,1632,60.8,356.7,890.0,772,975,1403.7,1335.6,732.2,430.4,72.7,1326.0,877,730,66
8_SM_001545,F,1566,44.0,333.9,727.0,623,865,1332.3,1282.7,724.9,413.1,62.9,1271.0,826,697,57
8_SM_001546,F,1646,53.7,357.7,799.0,713,927,1418.5,1344.7,756.4,447.2,72.3,1336.0,892,750,65
8_SM_001547,F,1651,63.2,353.0,870.0,775,991,1422.6,1357.8,765.3,445.7,67.3,1343.0,908,760,62
8_SM_001548,F,1671,54.2,347.5,809.0,670,912,1449.9,1376.4,783.8,471.8,73.1,1369.0,906,770,64
8_SM_001549,F,1546,53.6,353.6,852.0,693,917,1323.3,1264.9,689.4,416.3,69.0,1258.0,821,688,61
8_SM_001550,F,1590,59.0,345.5,898.0,780,973,1359.2,1287.0,717.4,419.0,69.0,1268.0,840,714,63
8_SM_001551,F,1544,48.0,334.8,825.0,650,870,1326.0,1261.7,713.7,423.3,62.8,1250.0,857,707,55
8_SM_001552,F,1600,64.4,367.1,916.0,774,980,1364.7,1301.2,719.4,434.2,67.2,1289.0,852,713,60
8_SM_001553,F,1556,47.0,348.3,783.0,660,868,1326.1,1248.9,696.8,403.6,65.6,1251.0,829,687,60
8_SM_001554,F,1578,55.3,352.0,874.0,767,902,1347.1,1291.5,701.4,426.9,64.5,1288.0,837,698,61
8_SM_001555,F,1621,52.7,346.3,848.0,730,881,1397.1,1321.3,742.3,428.8,68.6,1318.0,881,748,65
8_SM_001556,F,1521,47.3,339.3,818.0,698,871,1296.8,1226.6,675.4,397.4,61.9,1218.0,802,676,58
8_SM_001557,F,1640,56.9,362.2,853.0,724,926,1419.7,1341.8,736.2,432.2,70.7,1315.0,860,729,62
8_SM_001558,F,1584,37.9,338.0,703.0,572,815,1369.7,1285.2,733.2,430.9,63.4,1269.0,843,728,56
8_SM_001559,F,1636,65.9,372.9,960.0,872,1007,1417.6,1350.7,718.4,435.4,74.6,1325.0,855,713,62
8_SM_001560,F,1559,55.8,332.6,889.0,808,924,1344.8,1280.0,727.5,424.3,65.5,1271.0,865,722,55
8_SM_001561,F,1686,53.5,329.0,848.0,668,880,1464.3,1380.3,787.0,461.6,70.1,1372.0,917,783,62
8_SM_001562,F,1537,51.1,340.2,855.0,751,887,1316.7,1259.0,699.9,412.3,64.3,1242.0,836,699,60
8_SM_001563,F,1601,60.0,381.9,915.0,788,928,1376.6,1305.2,709.9,436.7,68.5,1280.0,862,709,62
8_SM_001564,F,1612,56.4,356.0,831.0,758,945,1385.4,1308.2,733.0,436.0,67.4,1294.0,868,728,63
8_SM_001565,F,1600,80.4,365.9,1037.0,942,1097,1372.1,1315.7,719.8,427.6,67.4,1317.0,893,725,62
8_SM_001566,F,1581,47.6,327.9,790.0,690,884,1366.6,1289.4,734.4,422.7,68.1,1280.0,869,727,65
8_SM_001567,F,1569,35.5,324.8,722.0,581,750,1358.7,1276.5,721.2,420.6,71.0,1272.0,826,710,65
8_SM_001568,F,1528,63.1,345.2,912.0,805,1004,1306.1,1241.9,688.9,409.5,69.0,1242.0,820,682,60
8_SM_001569,F,1645,58.1,349.0,816.0,724,940,1425.6,1352.9,750.2,435.7,66.7,1346.0,879,746,61
8_SM_001570,F,1670,67.6,357.4,916.0,781,1051,1446.5,1361.7,738.0,436.2,68.8,1371.0,892,740,60
8_SM_001571,F,1590,54.8,353.8,838.0,750,899,1359.5,1296.7,730.7,427.4,67.6,1275.0,858,723,61
8_SM_001572,F,1585,52.5,350.6,834.0,718,905,1368.7,1299.9,720.2,425.6,66.5,1270.0,844,713,52
8_SM_001573,F,1643,59.6,362.6,878.0,698,908,1416.4,1362.6,779.1,460.1,66.1,1341.0,912,775,62
8_SM_001574,F,1562,51.1,340.1,817.0,679,887,1342.6,1266.8,702.8,402.1,62.4,1253.0,822,692,57
