source_row_id,subject_id,gender,height,weight,shoulder,chest,waist,hip,thigh_length,calf_length,torso_length,leg_length,neck_length,thigh_calf_ratio,torso_leg_ratio
454,8_SM_000455,F,164.4,56.1,33.15,83.0,72.7,93.5,33.04,36.67,44.4,69.1,7.260000000000014,0.9010089991818925,0.6425470332850941
4342,8_SM_004343,M,167.6,67.2,36.89,95.3,90.1,91.5,25.919999999999998,38.35,46.4,65.9,7.479999999999995,0.6758800521512385,0.7040971168437025
2668,8_SM_002669,M,173.8,80.6,38.21,97.3,91.8,102.2,33.74,40.68,45.7,73.4,7.340000000000009,0.8294001966568338,0.6226158038147139
2624,8_SM_002625,M,180.7,68.9,41.410000000000004,94.7,72.6,91.8,37.51,41.06,48.5,76.5,8.1,0.9135411592791036,0.6339869281045751
185,8_SM_000186,F,165.1,56.6,35.660000000000004,83.8,72.1,96.2,36.150000000000006,36.21,45.9,68.6,5.95,0.9983429991714997,0.6690962099125365
3155,8_SM_003156,M,172.9,65.6,37.97,91.5,83.8,90.7,32.57000000000001,38.32,46.7,71.6,8.2,0.8499478079331944,0.6522346368715085
324,8_SM_000325,F,150.2,47.9,30.82,83.4,74.7,88.6,31.810000000000002,32.029999999999994,42.0,60.4,5.970000000000004,0.9931314392756793,0.695364238410596
1848,8_SM_001849,F,153.0,56.7,35.4,88.6,79.4,94.8,27.930000000000007,32.85,45.4,60.0,6.9,0.8502283105022833,0.7566666666666666
3748,8_SM_003749,M,175.1,85.2,41.55,102.2,93.3,107.0,32.98,39.790000000000006,45.2,71.9,7.55,0.8288514702186477,0.6286509040333796
1270,8_SM_001271,F,153.8,61.5,35.230000000000004,91.3,78.8,97.1,29.669999999999998,34.559999999999995,41.9,63.1,4.509999999999991,0.8585069444444445,0.6640253565768621
3936,8_SM_003937,M,165.2,57.3,38.660000000000004,85.9,74.7,88.8,28.270000000000003,36.3,46.4,65.1,7.820000000000005,0.7787878787878789,0.7127496159754224
2074,8_SM_002075,F,163.5,70.4,37.97,94.2,89.8,102.1,28.959999999999997,37.29,45.2,65.7,5.9,0.776615714668812,0.6879756468797564
44,8_SM_000045,F,173.3,67.3,37.2,97.5,78.0,97.7,34.94,40.26,46.6,73.1,7.3399999999999865,0.8678589170392449,0.637482900136799
3479,8_SM_003480,M,170.6,79.4,41.519999999999996,100.5,87.0,99.5,29.630000000000003,40.67999999999999,44.0,71.8,6.029999999999996,0.7283677482792529,0.6128133704735377
3309,8_SM_003310,M,178.3,121.0,44.68,121.9,119.6,115.8,31.450000000000006,40.160000000000004,49.2,70.4,6.090000000000009,0.7831175298804782,0.6988636363636364
1738,8_SM_001739,F,168.1,114.3,40.71,115.2,111.8,136.9,28.830000000000002,40.36,45.0,69.5,5.090000000000009,0.7143211100099108,0.6474820143884892
3021,8_SM_003022,M,170.8,65.6,42.31,92.2,77.0,92.8,31.450000000000006,39.57,44.6,70.6,9.070000000000004,0.7947940358857722,0.6317280453257791
811,8_SM_000812,F,162.4,50.7,32.54,80.5,65.3,92.0,29.85,35.39,46.2,64.9,6.7,0.8434586041254591,0.711864406779661
1953,8_SM_001954,F,151.6,55.5,34.589999999999996,87.9,77.0,94.5,28.509999999999998,31.890000000000004,42.9,59.2,7.829999999999996,0.8940106616494197,0.7246621621621621
1075,8_SM_001076,F,169.8,51.5,35.65,84.3,65.8,89.5,31.660000000000004,37.67,49.6,68.1,8.590000000000009,0.8404565967613487,0.7283406754772395
3885,8_SM_003886,M,180.4,78.0,42.75,93.5,86.9,100.5,32.24,42.35,47.6,73.6,9.0,0.7612750885478159,0.6467391304347827
258,8_SM_000259,F,172.4,82.7,36.44,101.0,97.3,111.0,33.98,39.010000000000005,45.9,73.1,4.8,0.871058702896693,0.627906976744186
1175,8_SM_001176,F,169.9,59.5,36.43,85.4,78.4,94.7,34.18,40.08,44.2,71.5,8.929999999999996,0.8527944111776448,0.6181818181818183
2274,8_SM_002275,F,161.8,56.2,36.61,85.8,73.8,91.2,30.730000000000008,37.809999999999995,44.1,67.0,7.7,0.8127479502777046,0.6582089552238806
654,8_SM_000655,F,159.2,63.1,32.83,96.5,84.5,96.5,28.78,35.92999999999999,45.6,61.9,5.709999999999991,0.8010019482326748,0.7366720516962844
3277,8_SM_003278,M,178.1,80.3,41.04,96.4,88.0,102.9,32.23,39.6,48.7,71.2,9.239999999999986,0.8138888888888888,0.6839887640449438
1188,8_SM_001189,F,159.4,53.7,37.3,84.9,70.2,93.5,31.389999999999997,35.35,44.2,64.6,5.690000000000009,0.8879773691654879,0.6842105263157896
1296,8_SM_001297,F,161.9,47.6,34.79,79.3,69.4,89.5,33.58,38.059999999999995,43.2,69.4,7.290000000000009,0.882291119285339,0.622478386167147
3059,8_SM_003060,M,172.5,64.1,38.33,94.1,74.6,93.5,31.4,41.02,46.9,71.6,7.6200000000000045,0.7654802535348609,0.6550279329608939
1345,8_SM_001346,F,161.8,54.1,35.54,82.1,69.0,95.9,30.069999999999993,37.42,43.4,66.0,7.5,0.803580972741849,0.6575757575757576
1988,8_SM_001989,F,153.5,52.3,35.489999999999995,88.3,75.5,87.7,28.57,34.519999999999996,42.6,62.5,4.8700000000000045,0.8276361529548089,0.6816
1227,8_SM_001228,F,161.0,53.1,35.05,89.0,70.0,91.8,31.480000000000008,35.91,45.2,65.3,7.05,0.8766360345307717,0.6921898928024504
1822,8_SM_001823,F,161.6,67.6,33.08,94.6,81.8,100.8,32.02,37.209999999999994,43.1,69.3,4.979999999999995,0.8605213652244023,0.621933621933622
2552,8_SM_002553,M,177.0,72.1,39.089999999999996,94.8,79.7,96.9,34.24,41.379999999999995,48.7,74.4,8.5,0.8274528757854037,0.6545698924731183
266,8_SM_000267,F,171.4,63.8,36.45,85.2,77.5,102.2,34.730000000000004,37.83,45.7,72.6,6.760000000000014,0.9180544541369285,0.6294765840220387
4348,8_SM_004349,M,162.0,62.4,36.239999999999995,93.3,85.0,89.8,30.749999999999993,35.760000000000005,44.0,66.1,4.560000000000014,0.8598993288590601,0.6656580937972769
56,8_SM_000057,F,162.6,55.4,35.14,90.5,73.5,95.5,30.779999999999994,37.0,44.8,67.2,6.860000000000014,0.8318918918918917,0.6666666666666666
2441,8_SM_002442,F,166.2,60.9,39.739999999999995,83.7,77.1,100.6,30.689999999999998,38.12,47.8,67.9,7.760000000000014,0.8050891920251836,0.7039764359351988
2641,8_SM_002642,M,167.1,64.7,39.0,92.0,79.0,93.0,32.26,37.37,43.2,69.0,7.470000000000004,0.8632592989028632,0.6260869565217392
